conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
10875,"A routine message from Noor discusses confirming an interview slot; the sender gives a clear non-financial purpose, keeps the tone calm, and gives no instruction involving money or secrecy. The conversation remains focused on coordination rather than pressure or reward.",banking,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,0,none,Allows verification,Allow
10876,The automated conversation does not respond meaningfully; it repeats instructions about investment platform and pressures the receiver to act. The request becomes unsafe because it combines identity uncertainty with a sensitive action.,investment platform,WhatsApp,Fake,Bot-Generated Conversation,Social Media DM,Bot Script,Tax Refund Scam,High,Customer Support,7,authority,Requests secrecy,Warn User
10877,"A routine message from Iqra discusses asking for a prescription refill reminder; the sender uses the official portal for verification, keeps the tone calm, and gives no instruction involving money or secrecy. The request is linked to asking for a prescription refill reminder, and no confidential credential is requested.",exam registration,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,No verification needed,Allow
10878,"The account holder is told that connects scholarship application with a sudden warning, pushes the receiver away from normal support channels, and pressures the receiver to approve a suspicious request before checking the source. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",scholarship application,Email,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Authority Spoofing,Fee Advance Scam,Critical,Clinic Staff,10,fear,Refuses call-back,Block and Escalate
10879,"The generated-looking message provides neat steps for asking for permission to submit late, but the tone is too uniform and the sender pushes the receiver away from normal support channels. The suspicious part is that the sender mentions a delayed verification window while demanding that the receiver upload an identity document.",pharmacy delivery,SMS,Fake,AI-Generated Text Conversation,Chat App,Automated Persuasion,Job Scam,Medium,Customer Support,1,confusion,Avoids verification,Verify First
10880,"The text uses smooth transitions and complete sentences about remote work, yet it feels artificial because it ignores the practical question raised earlier. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",remote work,WhatsApp,Fake,AI-Generated Text Conversation,Text,Template-Like Generation,Account Takeover,Low,Bank Officer,2,confusion,Allows verification,Allow
10881,"A scripted message from the conference secretariat claims an opportunity is available, uses generic greetings, and pushes the receiver to reply with card details. The conversation attempts to control the receiver's next action rather than allow independent verification.",online shopping,SMS,Fake,Bot-Generated Conversation,Chat App,Scripted Persuasion,OTP Theft,Medium,Courier Agent,6,reward,Requests secrecy,Verify First
10882,"The message reads like an AI-generated response because it summarizes checking whether a refund was processed, uses balanced formal wording, and does not react naturally to the receiver's concern. The receiver is not given a safe chance to confirm the claim through the travel agency.",utility billing,WhatsApp,Fake,AI-Generated Text Conversation,Text,Synthetic Text Generation,Job Scam,Medium,None,1,authority,Pushes immediate action,Verify First
10883,"A suspicious sender pretends to be Insurance Agent, claims there is a problem in exam registration, mentions a deadline that was never announced, and asks the receiver to move the chat to another number. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",exam registration,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Impersonation,Fee Advance Scam,Critical,Insurance Agent,8,guilt,Requests secrecy,Block and Escalate
10884,"The chat has mass-message features, including reward wording, adds emotional pressure after the receiver hesitates, and a request to confirm a login code. The receiver is not given a safe chance to confirm the claim through the conference secretariat.",internet service,SMS,Fake,Bot-Generated Conversation,Social Media DM,Automated Phishing,Tax Refund Scam,High,Government Officer,9,reward,Requests secrecy,Warn User
10885,"Rabia follows up with the support center about clarifying assignment requirements, but the message remains safe because it keeps the conversation focused on the original topic and avoids emotional pressure. The request is linked to clarifying assignment requirements, and no confidential credential is requested.",internet service,Social Media DM,Real,Genuine Human Conversation,Email,None,None,Low,None,0,none,Provides normal verification,Allow
10886,"A suspicious sender pretends to be Police Officer, claims there is a problem in utility billing, uses a new contact number without explanation, and asks the receiver to move the chat to another number. The risk increases because the message links utility billing with fear and immediate compliance.",utility billing,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Emergency Financial Scam,High,Police Officer,10,fear,Requests secrecy,Warn User
10887,"The conversation becomes risky because it uses guilt pressure, avoids naming the branch or office, and pushes the receiver to share a wallet PIN without normal verification. The risk increases because the message links hostel management with guilt and immediate compliance.",hostel management,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Banking Scam,High,Friend,10,guilt,Refuses call-back,Warn User
